frame_name,coordinates
00001.jpg,"[{'contour_0': (424, 350, 189, 97)}, {'contour_1': (635, 95, 125, 82)}, {'contour_2': (151, 54, 135, 72)}, {'contour_3': (968, 32, 164, 49)}]"
00002.jpg,"[{'contour_0': (42, 698, 90, 22)}, {'contour_1': (172, 63, 146, 74)}]"
00003.jpg,"[{'contour_0': (428, 365, 188, 79)}, {'contour_1': (1059, 78, 179, 40)}, {'contour_2': (200, 76, 141, 73)}, {'contour_3': (474, 27, 112, 35)}]"
00004.jpg,"[{'contour_0': (760, 166, 161, 96)}, {'contour_1': (224, 114, 141, 45)}, {'contour_2': (1121, 102, 159, 55)}]"
00005.jpg,"[{'contour_0': (1172, 124, 108, 56)}, {'contour_1': (239, 110, 150, 58)}]"
00006.jpg,"[{'contour_0': (436, 364, 189, 78)}, {'contour_1': (270, 110, 143, 69)}]"
00007.jpg,"[{'contour_0': (439, 362, 189, 74)}, {'contour_1': (294, 118, 144, 73)}]"
00008.jpg,"[{'contour_0': (983, 258, 139, 81)}, {'contour_1': (320, 129, 143, 72)}]"
00009.jpg,"[{'contour_0': (325, 131, 163, 80)}]"
00010.jpg,"[{'contour_0': (52, 683, 109, 37)}, {'contour_1': (354, 140, 159, 80)}]"
00011.jpg,"[{'contour_0': (385, 154, 154, 76)}]"
00012.jpg,[]
00013.jpg,"[{'contour_0': (431, 169, 158, 82)}, {'contour_1': (32, 53, 86, 57)}]"
00014.jpg,"[{'contour_0': (449, 178, 166, 82)}, {'contour_1': (399, 157, 83, 54)}]"
00015.jpg,"[{'contour_0': (426, 165, 82, 54)}]"
00016.jpg,"[{'contour_0': (516, 205, 148, 75)}, {'contour_1': (961, 28, 161, 45)}]"
00017.jpg,"[{'contour_0': (472, 351, 190, 81)}, {'contour_1': (1194, 348, 86, 49)}, {'contour_2': (549, 215, 141, 75)}, {'contour_3': (147, 105, 146, 74)}, {'contour_4': (82, 77, 110, 59)}, {'contour_5': (1015, 50, 163, 34)}]"
00018.jpg,"[{'contour_0': (557, 217, 158, 82)}, {'contour_1': (500, 195, 85, 54)}, {'contour_2': (1068, 73, 212, 112)}]"
00019.jpg,"[{'contour_0': (524, 204, 84, 55)}, {'contour_1': (1066, 75, 214, 106)}]"
00020.jpg,"[{'contour_0': (1164, 115, 116, 57)}]"
00021.jpg,"[{'contour_0': (284, 680, 69, 40)}, {'contour_1': (485, 347, 187, 80)}, {'contour_2': (647, 253, 145, 75)}]"
00022.jpg,"[{'contour_0': (663, 256, 154, 82)}]"
00023.jpg,"[{'contour_0': (625, 242, 85, 54)}]"
00024.jpg,"[{'contour_0': (567, 651, 137, 69)}, {'contour_1': (651, 251, 85, 54)}]"
00025.jpg,"[{'contour_0': (309, 521, 55, 31)}, {'contour_1': (496, 341, 167, 79)}, {'contour_2': (750, 288, 144, 77)}, {'contour_3': (339, 157, 133, 86)}, {'contour_4': (262, 141, 113, 59)}]"
00026.jpg,"[{'contour_0': (499, 339, 190, 80)}, {'contour_1': (775, 301, 145, 76)}, {'contour_2': (339, 166, 155, 87)}, {'contour_3': (283, 151, 114, 60)}]"
00027.jpg,"[{'contour_0': (727, 281, 88, 55)}, {'contour_1': (1185, 107, 95, 45)}]"
00028.jpg,"[{'contour_0': (752, 291, 87, 54)}]"
00029.jpg,"[{'contour_0': (616, 679, 74, 41)}, {'contour_1': (833, 332, 163, 74)}]"
00030.jpg,"[{'contour_0': (207, 621, 82, 51)}, {'contour_1': (878, 343, 145, 73)}, {'contour_2': (510, 334, 188, 70)}, {'contour_3': (454, 201, 131, 86)}, {'contour_4': (373, 184, 114, 59)}]"
00031.jpg,"[{'contour_0': (905, 354, 143, 73)}]"
00032.jpg,"[{'contour_0': (931, 360, 141, 77)}]"
00033.jpg,[]
00034.jpg,"[{'contour_0': (982, 383, 142, 74)}]"
00035.jpg,"[{'contour_0': (376, 668, 149, 52)}, {'contour_1': (1005, 394, 146, 75)}]"
00036.jpg,"[{'contour_0': (1031, 404, 144, 76)}]"
00037.jpg,[]
00038.jpg,[]
00039.jpg,"[{'contour_0': (156, 483, 187, 105)}]"
00040.jpg,"[{'contour_0': (229, 521, 87, 33)}]"
00041.jpg,"[{'contour_0': (436, 638, 94, 52)}, {'contour_1': (1146, 459, 134, 74)}]"
00042.jpg,"[{'contour_0': (435, 643, 180, 77)}]"
00043.jpg,[]
00044.jpg,"[{'contour_0': (534, 672, 137, 48)}]"
00045.jpg,"[{'contour_0': (1181, 469, 99, 65)}, {'contour_1': (780, 337, 133, 86)}, {'contour_2': (552, 318, 262, 72)}]"
00046.jpg,"[{'contour_0': (781, 345, 153, 87)}]"
00047.jpg,"[{'contour_0': (823, 354, 134, 87)}, {'contour_1': (710, 337, 145, 60)}, {'contour_2': (549, 316, 136, 83)}]"
00048.jpg,"[{'contour_0': (844, 364, 134, 87)}, {'contour_1': (764, 345, 115, 61)}]"
00049.jpg,"[{'contour_0': (865, 374, 135, 88)}, {'contour_1': (784, 355, 118, 62)}, {'contour_2': (16, 71, 115, 38)}]"
00050.jpg,"[{'contour_0': (887, 384, 135, 87)}, {'contour_1': (806, 366, 117, 61)}, {'contour_2': (68, 95, 113, 38)}]"
00051.jpg,"[{'contour_0': (597, 541, 102, 49)}, {'contour_1': (230, 491, 153, 88)}, {'contour_2': (116, 120, 125, 37)}]"
00052.jpg,"[{'contour_0': (307, 528, 129, 64)}, {'contour_1': (167, 135, 118, 44)}]"
00053.jpg,"[{'contour_0': (217, 165, 110, 38)}]"
00054.jpg,"[{'contour_0': (837, 661, 167, 59)}, {'contour_1': (513, 650, 182, 70)}, {'contour_2': (260, 643, 212, 77)}, {'contour_3': (975, 424, 137, 87)}, {'contour_4': (894, 404, 120, 62)}, {'contour_5': (265, 189, 115, 41)}]"
00055.jpg,"[{'contour_0': (223, 651, 89, 40)}, {'contour_1': (995, 432, 142, 89)}, {'contour_2': (915, 415, 119, 75)}, {'contour_3': (551, 295, 188, 99)}, {'contour_4': (314, 182, 140, 70)}]"
00056.jpg,"[{'contour_0': (604, 679, 130, 41)}, {'contour_1': (225, 651, 143, 69)}, {'contour_2': (1016, 440, 144, 91)}, {'contour_3': (938, 424, 118, 65)}, {'contour_4': (555, 289, 183, 106)}, {'contour_5': (364, 204, 129, 71)}, {'contour_6': (736, 42, 116, 28)}]"
00057.jpg,"[{'contour_0': (1044, 453, 140, 89)}, {'contour_1': (961, 433, 123, 63)}, {'contour_2': (414, 261, 113, 39)}, {'contour_3': (782, 63, 123, 31)}]"
